"crm_name","tfac_name","database","articles","biological_samples","evidence"
"crm/CRMHS00005146695","MYC_HUMAN","http://lcbb.swjtu.edu.cn/EnhFFL/","PMID:35694152","UBERON_0000310","http://lcbb.swjtu.edu.cn/EnhFFL/details/?term=enH567047&subtype=enhancer&species=human"
"crm/CRMHS00005146695","RPB1_HUMAN","http://lcbb.swjtu.edu.cn/EnhFFL/","PMID:35694152","UBERON_0000310","http://lcbb.swjtu.edu.cn/EnhFFL/details/?term=enH567047&subtype=enhancer&species=human"
